,drop,alt,target,choice,drop_x,drop_y,drop_z,orientation,model_train_steps
0,dumbbell,octahedron,pentagon,pentagon,0.15017166081120026,0.7917417259132358,0.1628691007825459,"(-0.015101872808641163, 0.3074106525558479, -0.012191476656635057, 0.9513789949488007)",0
1,triangular_prism,cone,pentagon,pentagon,0.5648708870620469,1.0015633808103641,0.1448458592867828,"(0.2520516410578219, -0.12161177132990202, -0.4172718575505191, 0.8646182650224328)",0
2,bowl,triangular_prism,torus,triangular_prism,-0.9692625383723825,0.6019064370807599,0.0611206365463456,"(-0.3923833937473766, -0.3803785474282412, -0.07784554863534046, 0.8338390153532846)",0
3,triangular_prism,dumbbell,bowl,bowl,-1.0505370193532249,-1.1070191079470284,0.1593540707069439,"(0.3476365079110143, -0.4001492511504005, -0.04477178251336927, 0.8467732415834741)",0
4,bowl,triangular_prism,torus,triangular_prism,0.13450343005027024,0.7597856484331106,0.15732503134255255,"(0.14972843582738377, -0.23369899672648395, 0.08352016628724211, 0.9570739554794453)",0
5,cone,octahedron,torus,torus,0.5125817515200901,-0.3391952730075951,0.1506598432356933,"(0.15349897370919927, 0.22572180499211475, 0.2993058053404757, 0.9142777295279666)",0
6,pentagon,sphere,bowl,bowl,-0.7967993774464787,0.5417630379525598,0.1306531694071299,"(0.19777728201154401, -0.0020088748353194377, -0.475630311731216, 0.8571207136130176)",0
7,pentagon,sphere,bowl,bowl,0.5405657156361973,-0.3946426088948122,0.0762028083155081,"(-0.2080444391916339, -0.21048076561202972, -0.36125015235022695, 0.8842588343102659)",0
8,octahedron,sphere,pipe,pipe,0.37351933735045684,0.7563760007312101,0.2519243371341936,"(0.07234252451515986, 0.44875808511238185, -0.12633880093844513, 0.8817149468907044)",0
9,pentagon,sphere,bowl,bowl,-0.5022998439650109,0.24971577439332848,0.09744834678428634,"(0.1600558346091827, -0.05055929570899664, -0.42136657888589335, 0.8912216860147459)",0
10,pyramid,sphere,triangular_prism,triangular_prism,-0.7163808619005099,0.3607795089758937,0.1911414267870343,"(0.021738201873053385, 0.043945580318637996, -0.15969697357278817, 0.9859478247764821)",0
11,pipe,octahedron,cone,octahedron,0.982615193958601,0.981362959139739,0.11698142135118138,"(0.28790839412899216, 0.36936559195121116, -0.2121358493030045, 0.8577156857100663)",0
12,sphere,cone,pipe,pipe,0.5368451363444005,-1.0038002346758697,0.12270900619330735,"(-0.40872241829940836, 0.08938827574665542, -0.19211944055438082, 0.8877194610346193)",0
13,cone,sphere,triangular_prism,triangular_prism,0.36538245428932575,0.5608898967286634,0.09709245528130862,"(0.117548579140901, -0.18622250714312752, 0.09576561372043801, 0.9707380988732394)",0
14,torus,dumbbell,cone,dumbbell,-0.8126623466949173,1.0911350251466723,0.06715798123605211,"(-0.4454536926804513, -0.1351208186037597, -0.16766297999945948, 0.8690238760787304)",0
15,dumbbell,pyramid,pipe,pipe,-0.5307764735582483,-0.10075344047327976,0.1399375624823714,"(0.3868243902838882, 0.3976648168849415, -0.2287138978388744, 0.7999497093122249)",0
16,sphere,pentagon,bowl,bowl,-0.579331744879362,0.9846497878897464,0.07097876323950784,"(-0.01323788587425172, 0.1477063677966592, -0.09127797055551054, 0.9847212394282788)",0
17,dumbbell,octahedron,pentagon,pentagon,-0.5030503545414495,0.37920120886747033,0.13340753217579093,"(0.022691693282919943, 0.2827156204892625, -0.052300679414278836, 0.9575080176792934)",0
18,torus,dumbbell,cone,cone,-1.0381303936653956,-0.5845142032407343,0.10299724258205266,"(-0.1911139580525292, -0.36121849980829224, -0.16024556642359547, 0.8985087695038507)",0
19,torus,dumbbell,cone,dumbbell,-0.786075460002011,0.34762090245113975,0.07602904296646279,"(-0.2104224045780957, -0.040913321614887616, 0.28587321237221197, 0.933983414314195)",0
20,pyramid,sphere,triangular_prism,triangular_prism,0.8062376044379161,-0.7845157857584593,0.08625935058371022,"(0.48863544395983094, 0.2699783126758668, -0.45392910391042857, 0.6944749687454158)",0
21,dumbbell,pyramid,pipe,pipe,0.9790558375858285,0.10595631438840113,0.11508073474104061,"(-0.3318747974258403, 0.1075004993011252, 0.19781739794037934, 0.916062791819242)",0
22,bowl,triangular_prism,pyramid,triangular_prism,-0.7749379863530491,-0.364699303201354,0.09804449268521319,"(-0.19248534293237848, -0.23943368043778995, -0.16010156135967626, 0.9380769667135063)",0
23,cone,octahedron,torus,torus,-0.3614624327383079,-0.11750155545344644,0.13940293263257397,"(0.15048015502791995, -0.2906843439820106, 0.29367259764939146, 0.8981173311413047)",0
24,bowl,triangular_prism,torus,triangular_prism,-1.0048990776640818,1.2026813165600132,0.08769049541704385,"(-0.41991499013650496, 0.24183826845047532, 0.0742618354261627, 0.8715909779080279)",0
25,dumbbell,octahedron,pentagon,pentagon,0.6089421070848955,-0.5194576563978319,0.20204378559514613,"(-0.191935190128643, -0.5422206862259751, 0.101277615066142, 0.8117268351517207)",0
26,dumbbell,octahedron,pentagon,pentagon,0.33077936479425973,0.1285252803958407,0.11348178197948884,"(0.4889565247962939, 0.0929271113451965, -0.5034234781328356, 0.7062937565211851)",0
