,drop,alt,target,choice,drop_x,drop_y,drop_z,orientation,model_train_steps
0,dumbbell,octahedron,pentagon,octahedron,-0.5252136113705647,0.11474846178256065,1.418739919908055,"(-0.08174269276564317, -0.035548290815460626, 0.12055829705216878, 0.9886961860002303)",420000
1,pipe,octahedron,cone,octahedron,-0.2948577573398312,0.3536352199278777,0.10029937937784345,"(0.30297474648309486, 0.2881729536353841, 0.1102010462626315, 0.9016753191638244)",420000
2,octahedron,pyramid,pentagon,pyramid,-0.9767238816056224,0.3921098054743869,1.40732938718187,"(0.2520516410578219, -0.12161177132990202, -0.4172718575505191, 0.8646182650224328)",420000
3,dumbbell,pyramid,pipe,pipe,-0.9695846562661911,-1.0146068862851,0.7715091063543078,"(-0.05677808896095655, 0.01582435587770835, 0.38723930016612795, 0.9200932359178849)",420000
4,pyramid,sphere,triangular_prism,sphere,0.12578831579249716,0.5287958371183512,0.2913172738819195,"(0.08274700407493492, -0.17025513848483645, -0.3316626697083269, 0.9242110119762029)",420000
5,torus,dumbbell,cone,cone,0.5319798017665088,-0.3082962113228974,0.40805841240587276,"(0.37120232328689357, 0.05508088224890158, -0.3506075432881949, 0.8580496968046267)",420000
6,torus,octahedron,bowl,bowl,-0.7766889657297772,0.47267842772362845,0.2836270606205503,"(0.49858083747692683, -0.1547419040922079, 0.5070840550695861, 0.685811820190429)",420000
7,sphere,cone,pipe,cone,0.3225918230032617,0.7962404963716327,0.36831110452298516,"(-0.02746052582393192, 0.1993618084951801, -0.10873934062261309, 0.9734867973608906)",420000
8,triangular_prism,cone,pentagon,cone,0.31411881918302037,-0.2828386858039953,0.14182171121739784,"(0.2767985437096557, 0.35693788818461203, -0.44908983335089325, 0.7709061108587674)",420000
9,sphere,cone,pipe,pipe,-0.4953780058114722,0.3317151954030667,0.6001924183212071,"(0.10216199544838818, 0.07351775305759088, -0.26446086587937795, 0.9561477485669756)",420000
10,octahedron,pyramid,pentagon,pentagon,-0.7453695168231843,0.1334259582603032,1.4100383575980007,"(0.11549648698850934, 0.2078426816070426, 0.3170482693200142, 0.9181189335357868)",420000
11,pyramid,dumbbell,torus,torus,-0.13749750464368418,-0.43954906226959667,0.3645032378576719,"(-0.5337240222267589, -0.23193049779018257, -0.4753420561727791, 0.6598460744191199)",420000
12,cone,sphere,triangular_prism,triangular_prism,0.5929719702951991,-0.798575419974712,0.0658063904190666,"(0.16657146723385088, -0.25173129421699214, 0.09759013620806598, 0.9483467019662648)",420000
13,cone,sphere,triangular_prism,triangular_prism,0.3244021711066576,0.5467728719675801,0.21095160040759514,"(0.43828462124964157, 0.054494538580974805, -0.3641782392779392, 0.8199458189888676)",420000
14,torus,octahedron,bowl,octahedron,-0.743693809152449,1.0228442516624094,0.18522823841361746,"(-0.3120086649762556, -0.10564348142875522, 0.33965020191766876, 0.8809811508475274)",420000
15,pentagon,sphere,bowl,sphere,-0.9863359367851311,0.3325673608994474,0.6927989363766668,"(-0.26592914216545943, 0.019630505644147405, 0.26313206926506066, 0.9271773555903883)",420000
16,pentagon,sphere,bowl,sphere,-0.5532532357906043,0.32228153880181887,0.8184877520175594,"(0.14034444692997042, 0.006206189340584972, -0.10375248189282427, 0.9846320845528388)",420000
17,dumbbell,pyramid,pipe,pyramid,0.07661569752034814,-1.0148392826650825,1.38585731063358,"(0.0820183850756221, -0.285202687834772, -0.24052968089527652, 0.924163342688848)",420000
18,pentagon,pyramid,pipe,pyramid,-1.0404173816641997,1.0853368465495548,1.2062008715230605,"(0.2642857398924305, -0.12466620802788897, 0.13824183641766125, 0.9463089236234277)",420000
19,torus,dumbbell,cone,dumbbell,-0.7680171205635055,0.41983732389123596,0.2435598417351896,"(0.2874981614121325, 0.023166433707970842, -0.11534376828637681, 0.9505282419009948)",420000
20,pipe,dumbbell,torus,dumbbell,-0.9899167781338071,0.3594884268753661,0.5167749187884427,"(0.19620148683209124, -0.5162765754397347, -0.18905085541384964, 0.8119256420906956)",420000
21,cone,sphere,triangular_prism,sphere,-0.10299962600403409,0.7580372975984963,0.446581743052817,"(0.14912559251833923, -0.3973255514570459, 0.2863313099369278, 0.859015916479556)",420000
22,dumbbell,octahedron,pentagon,octahedron,-0.7537705659675037,-0.5581041663001844,0.3962034872122577,"(0.3696095359714693, 0.18213727634035742, -0.08465849791859031, 0.9072197871609942)",420000
23,octahedron,pyramid,pentagon,pentagon,-0.2800869425433061,-0.095520069527151,1.11865644225386,"(0.3163343226016318, 0.201171253878249, -0.45751321813759, 0.8063153094085501)",420000
24,torus,dumbbell,cone,dumbbell,-1.005760431500458,1.032556698093052,0.08983624084690012,"(0.027918829732701468, -0.19907150395685355, 0.4211651483536003, 0.8844269291869186)",420000
