,drop,alt,target,choice,drop_x,drop_y,drop_z,orientation,model_train_steps
0,dumbbell,octahedron,pentagon,pentagon,0.1627359105707657,0.8312599121128982,0.306276373426213,"(0.21497198248996294, 0.08803566621946005, 0.01841907315581116, 0.9724697969406103)",10000
1,triangular_prism,cone,pentagon,cone,-0.32024399196595293,0.3810136540465754,0.8252316771754757,"(0.109548110942512, -0.49887884103555125, -0.07831054834223343, 0.8561463492734702)",10000
2,bowl,triangular_prism,torus,triangular_prism,-0.9453585297392799,0.5163354755743034,0.8021241019445307,"(0.19081212603652054, -0.1108316617529662, -0.1182815628160628, 0.9681510973026313)",10000
3,triangular_prism,dumbbell,bowl,dumbbell,0.5526920555231868,-0.6980237781927576,0.6770180103600631,"(-0.4293784013117364, 0.34508496181065457, 0.21918003983725115, 0.8053016004926711)",10000
4,bowl,triangular_prism,torus,torus,0.5601701397629262,-0.4016794566110401,0.4323004165655232,"(0.3339325318019303, -0.13431364649274527, -0.07558182009169687, 0.9299119834918792)",10000
5,cone,octahedron,torus,torus,0.5751337434471748,-0.3312440919610913,0.10881644568517161,"(-0.3994014212558822, 0.15220455654314785, 0.5541305491619528, 0.714318984874235)",10000
6,pentagon,sphere,bowl,sphere,0.7984618620765019,-0.13651809030073947,0.1378469258635201,"(0.28651683097814984, 0.47874297059789184, -0.012234748109923987, 0.8297973153776957)",10000
7,pentagon,sphere,bowl,bowl,0.5565252466931486,-0.36533934075644864,0.4640400633875844,"(-0.08700764101162638, -0.06627773918438469, -0.41990827173222023, 0.9009517051568627)",10000
8,octahedron,sphere,pipe,sphere,0.3200680342441218,-0.3100268720921285,0.3725498327603576,"(-0.4207259540061472, -0.32164796144165, -0.27399473124566986, 0.8027821297062244)",10000
9,pentagon,sphere,bowl,bowl,-0.516252512237211,0.28036533528068525,0.4467716421078641,"(0.26188699597122667, 0.3956198070998222, -0.11396362793806959, 0.8728759711887247)",10000
10,pyramid,sphere,triangular_prism,sphere,0.3591895208271737,0.32487541634100137,0.27260040429601656,"(0.3181016089118097, -0.07225880563450261, 0.3951499529777357, 0.858747079225127)",10000
11,pipe,octahedron,cone,octahedron,1.0042705247724988,0.9578224708733627,0.16193180272000424,"(0.035612675928416486, -0.022204989976052962, 0.25717334888194476, 0.9654535433454199)",10000
12,sphere,cone,pipe,cone,0.9788551781397783,-0.1251085306532377,0.29406088933295904,"(0.3866692431226283, 0.21712815062258994, 0.12995647898581036, 0.8868221784550713)",10000
13,cone,sphere,triangular_prism,triangular_prism,0.3935034559998682,0.539405113095026,0.13321395537385722,"(-0.14204612633187558, 0.5331104512104948, -0.18765730506236616, 0.8126505280014168)",10000
14,torus,dumbbell,cone,cone,0.36671072503959445,-0.3154568905192794,0.17660587683545925,"(0.32583268013087174, -0.3994592596952925, -0.23894810167571676, 0.8229028916634047)",10000
15,dumbbell,pyramid,pipe,pyramid,-1.047485554024922,0.37918567868025393,0.48229571963005935,"(0.3688658633837632, -0.24040818516765702, 0.32884935596563614, 0.8354639312475021)",10000
16,sphere,pentagon,bowl,pentagon,-0.5457406719662706,0.3310196474425293,0.3432775577682345,"(0.191319275354622, 0.1889235660448517, -0.2135053671403193, 0.9392125847075071)",10000
17,dumbbell,octahedron,pentagon,octahedron,0.11751545002713422,-0.9534348807901134,0.5712702523140165,"(0.07826781904520407, 0.4624171205271778, -0.041370926301425665, 0.882231829850988)",10000
18,torus,dumbbell,cone,cone,-1.0121366189863588,-0.490093215412729,1.450608569273739,"(-0.1911139580525292, -0.36121849980829224, -0.16024556642359547, 0.8985087695038507)",10000
19,torus,dumbbell,cone,cone,0.355263520639851,-0.9884464442048864,0.6115762577900783,"(0.3648882176636885, 0.25723293239442385, -0.05738637962627577, 0.8929695462530463)",10000
20,pyramid,sphere,triangular_prism,sphere,-0.9753085163313793,0.34804910432873976,1.4058128804827705,"(-0.2928721397705606, 0.16515437340019978, 0.2607104727302786, 0.9049751334162477)",10000
21,dumbbell,pyramid,pipe,pyramid,-0.09794267388083445,0.7978877698769651,0.5648179736789926,"(0.055531176021262084, -0.30854508745993764, -0.05869958772608907, 0.9477713732197349)",10000
22,bowl,triangular_prism,pyramid,triangular_prism,-0.7758010378424371,-0.33273521673561046,1.0159303287475185,"(-0.3372646923836324, 0.10569137009312404, 0.3597078098340557, 0.8635346855243273)",10000
23,cone,octahedron,torus,octahedron,0.28701762033871386,-0.08730783952949403,0.1276135010843913,"(0.20967849090214435, -0.41244001485120996, 0.39809418297401317, 0.7921169017795202)",10000
24,bowl,triangular_prism,torus,torus,-0.37400672998090595,0.225436444359068,0.9292068381933507,"(0.3423052196794936, -0.23681749174807626, 0.2513697778383809, 0.8738179713028374)",10000
25,dumbbell,octahedron,pentagon,pentagon,0.5753914525131242,-0.510701036902571,0.17735724179497545,"(-0.12854603937968603, 0.1883582738158095, -0.3288447957442307, 0.9164377648028588)",10000
26,dumbbell,octahedron,pentagon,octahedron,-0.7652589820873201,-0.8046843990914064,0.4893928488993692,"(0.0737043160267556, -0.08401023379906696, 0.028657952601912003, 0.9933220405129047)",10000
27,triangular_prism,dumbbell,bowl,dumbbell,0.5611696457810009,-0.0871300665817964,0.2861558669309897,"(-0.18932810606258865, 0.14944165800490095, 0.17659347942205358, 0.9542729180549515)",10000
28,sphere,cone,pipe,cone,-0.9736884574473332,-0.9723119945288379,0.12676760535697876,"(0.25858143598146754, 0.16688440794149503, 0.25880639949649614, 0.9155896913636801)",10000
