SID,Exclude,Age,Trial,TrialType,DropChoice,Point_DropLocation,DropLocation,DropOrientation,Notes
061819_7,N,4.55,14,Normal,smallblock,,bigblock,NA,
061819_7,N,4.55,15,Normal,smallblock,,golf,NA,
061819_7,Y,4.55,16,Normal,bigblock,,NA,palm on face,drop out of the box
061819_7,Y,4.55,17,ArrangeTargets,pingpong,,pingpong,NA,drop from too high
061819_8,Y,2.51,1,Normal,golf,,space,NA,kid first moved in-box golf ball and the dropping ball collided with golf in space
061819_8,Y,2.51,2,Normal,golf,,space,NA,"kid first moved in-box golf ball, and used dropping golf to touch in-box golf"
061819_8,N,2.51,3,Normal,pingpong,,bigblock,NA,
061819_8,N,2.51,4,Normal,golf,,space,NA,
061819_9,Y,3.66,1,Normal,pingpong,,space,NA,hit experimenter's hand
061819_9,N,3.66,2,Normal,golf,,golf,NA,
061819_9,N,3.66,3,Normal,pingpong,,pingpong,NA,
061819_9,N,3.66,4,Normal,golf,,space,NA,
061819_9,N,3.66,5,Normal,pingpong,,space,NA,
061819_9,N,3.66,6,Normal,golf,,space,NA,
061819_9,N,3.66,7,Normal,pingpong,,pingpong,NA,
061819_9,N,3.66,8,Normal,golf,,pingpong,NA,
062719_1,N,5.26,1,Normal,golf,,space,NA,
062719_1,N,5.26,2,Normal,smallblock,,space,palm on face,
062719_1,N,5.26,3,Normal,bigblock,,space,palm on face,
062719_1,N,5.26,4,Normal,pingpong,,space,NA,
062719_1,N,5.26,5,Normal,golf,,space,NA,
062719_1,N,5.26,6,Normal,smallblock,,space,palm on edge,
062719_1,N,5.26,7,Normal,bigblock,,space,palm on face,
062719_1,N,5.26,8,Normal,pingpong,,space,NA,
062719_1,N,5.26,9,Normal,golf,,space,NA,
062719_1,Y,5.26,10,Normal,golf,,space,NA,two balls rolled away before dropping
062719_1,N,5.26,11,Normal,pingpong,,space,NA,dropped from very high
062719_1,N,5.26,12,Normal,golf,,space,NA,dropped from very high
062719_1,N,5.26,13,Normal,golf,,space,NA,dropped from very high
062719_1,N,5.26,14,Normal,golf,,space,NA,dropped from very high
062719_1,N,5.26,15,Normal,golf,,space,NA,dropped from very high
062719_1,N,5.26,16,ArrangeTargets,golf,,space,,arranged them in two corners
062719_1,N,5.26,17,Point,golf,space,space,NA,
062719_1,N,5.26,18,Point,pingpong,space,space,NA,
062719_1,N,5.26,19,Point,bigblock,space,space,NA,
062719_2,N,2.90,1,Normal,golf,,space,NA,
062719_2,N,2.90,2,Normal,pingpong,,pingpong,NA,
062719_2,N,2.90,3,Normal,golf,,pingpong,NA,dropping from very low
062719_2,N,2.90,4,Normal,golf,,pingpong,NA,"dropping from very low, ""I missed!"""
062719_2,N,2.90,5,Normal,golf,,golf,NA,dropping from very low
062719_2,Y,2.90,6,Normal,pingpong,,bigblock/golf,NA,"two targets rolled away before dropping, used dropping ball to hit golf"
062719_2,N,2.90,7,Normal,golf,,pingpong,NA,
062719_2,N,2.90,8,Normal,golf,,golf,NA,
062719_2,N,2.90,9,Normal,pingpong,,pingpong,NA,
062719_2,N,2.90,10,Point,golf,NA,golf,NA,
062719_2,N,2.90,11,Point,golf,pingpong,pingpong,NA,
062719_2,N,2.90,12,Point,pingpong,NA,golf,NA,
062719_2,N,2.90,13,Point,golf,golf,golf,NA,
062719_2,N,2.90,14,Point,golf,pingpong,pingpong,NA,
062719_2,N,2.90,15,ArrangeTargets,,,,,want all of objects to be around one
062719_2,N,2.90,16,Point,golf,pingpong,pingpong,NA,dropping from very low
062719_2,N,2.90,17,Normal,pingpong,,golf,NA,dropping from very low
062719_2,N,2.90,18,Point,golf,golf,golf,NA,dropping from very low
062719_2,Y,2.90,19,Normal,golf,,pingpong/space,NA,"two targets rolled away before dropping, dropping ball hit pingpong"
062719_2,N,2.90,20,Normal,golf,,golf,NA,
062719_3,N,5.13,1,Point,smallblock,pingpong,space,palm on face,
062719_3,N,5.13,2,Point,pingpong,golf,space,NA,
062719_3,N,5.13,3,Normal,golf,,golf,NA,
062719_3,N,5.13,4,Normal,bigblock,,bigblock,palm on edge,
062719_3,N,5.13,5,ArrangeTargets,,,,,put randomly in half of the box
062719_4,N,3.04,1,Normal,golf,,golf,NA,
062719_4,N,3.04,2,Normal,smallblock,,space,palm on face,
062719_4,Y,3.04,3,Normal,bigblock,,golf,palm on face,one ball rolled away
062719_4,N,3.04,4,Normal,pingpong,,space,NA,
062719_4,N,3.04,5,Normal,pingpong,,bigblock,NA,
062719_4,N,3.04,6,Normal,bigblock,,space,palm on face,
062719_4,Y,3.04,7,Normal,smallblock,,space,palm on face,didnt setup yet
062719_4,N,3.04,8,Normal,golf,,space,NA,
062719_4,N,3.04,9,Normal,golf,,bigblock,NA,
062719_4,N,3.04,10,Normal,golf,,space,NA,
062719_4,N,3.04,11,Normal,bigblock,,bigblock,palm on face,
062719_4,Y,3.04,12,Normal,pingpong,,space,NA,one ball rolled away
062719_4,N,3.04,13,ArrangeTargets,,,,,all put in the center
062719_5,N,2.74,1,Normal,pingpong,,space,NA,
062719_5,N,2.74,2,Normal,pingpong,,space,NA,
062719_5,N,2.74,3,Normal,pingpong,,pingpong,NA,
062719_5,N,2.74,4,Normal,pingpong,,space,NA,
062719_5,N,2.74,5,Normal,golf,,space,NA,
062719_5,N,2.74,6,Normal,golf,,space,NA,
062719_5,N,2.74,7,Normal,golf,,space,NA,
062719_6,N,3.51,1,Normal,golf,,space,NA,
062719_6,N,3.51,2,Normal,smallblock,,space,palm on face,
062719_6,N,3.51,3,Normal,bigblock,,space,palm on face,
062719_6,N,3.51,4,Normal,pingpong,,space,NA,
062719_6,N,3.51,5,Normal,golf,,golf,NA,
062719_6,N,3.51,6,Normal,smallblock,,golf,palm on face,
062719_6,N,3.51,7,Normal,bigblock,,golf,palm on edge,
062719_6,N,3.51,8,Normal,golf,,space,NA,
062719_6,N,3.51,9,Point,golf,golf,golf,NA,
062719_6,N,3.51,10,Point,smallblock,golf,golf,palm on edge,
062719_6,N,3.51,11,Normal,bigblock,,space,palm on face,
062719_6,N,3.51,12,ArrangeTargets + Point,golf,golf,golf,NA,put the four objects to three corners
071819_1,N,4.39,1,Normal,golf,,pingpong,,
071819_1,N,4.39,2,Normal,bigblock,,space,,
071819_1,N,4.39,3,Normal,smallblock,,space,,
071819_1,N,4.39,4,Normal,pingpong,,space,,
071819_1,N,4.39,5,Normal,bigblock,,space,,
071819_1,N,4.39,6,Normal,golf,,space,,
071819_1,N,4.39,7,Normal,smallblock,,pingpong,,
071819_1,N,4.39,8,Normal,bigblock,,space,,
071819_1,N,4.39,9,Normal,golf,,pingpong,,
071819_1,N,4.39,10,Normal,golf,,space,,
071819_1,N,4.39,11,Normal,smallblock,,pingpong,,
071819_1,N,4.39,12,Normal,pingpong,,pingpong,,
071819_1,N,4.39,13,Normal,golf,,pingpong,,
071819_1,N,4.39,14,Normal,bigblock,,pingpong,,
071819_1,N,4.39,15,Normal,pingpong,,pingpong,,
071819_1,N,4.39,16,Normal,pingpong,,pingpong,,
071819_1,N,4.39,17,Normal,pingpong,,pingpong,,
071819_1,N,4.39,18,ArrangeTargets,golf,,bigblock,,switched the locations of balls and blocks
071819_2,N,2.01,1,Normal,bigblock,,golf,,
071819_2,N,2.01,2,Normal,smallblock,,space,,
071819_2,N,2.01,3,Normal,smallblock,,pingpong,,
071819_2,N,2.01,4,Normal,pingpong,,space,,
071819_2,N,2.01,5,Normal,pingpong,,space,,
071819_2,N,2.01,6,Normal,pingpong,,pingpong,,
071819_2,N,2.01,7,Normal,bigblock,,pingpong,,
071819_2,N,2.01,8,Normal,bigblock,,space,,
071819_2,N,2.01,9,Normal,smallblock,,bigblock,,
071819_2,N,2.01,10,Normal,golf,,space,,
071819_2,N,2.01,11,Normal,golf,,space,,
071819_2,N,2.01,12,Normal,golf,,smallblock,,
071819_2,N,2.01,13,Normal,smallblock,,bigblock,,
071819_2,N,2.01,14,Normal,golf,,space,,
071819_2,N,2.01,15,ArrangeTargets,,,,,moved pingpong ball
071819_3,N,4.18,1,Normal,golf,,space,,
071819_3,N,4.18,2,Normal,bigblock,,space,,
071819_3,N,4.18,3,Normal,pingpong,,bigblock,,
071819_3,N,4.18,4,Normal,smallblock,,space,,
071819_3,N,4.18,5,Normal,golf,,space,,
071819_3,N,4.18,6,Normal,smallblock,,space,,
071819_3,N,4.18,7,Normal,bigblock,,bigblock,,
071819_3,N,4.18,8,Normal,bigblock,,space,,
071819_3,N,4.18,9,Normal,pingpong,,space,,
071819_3,N,4.18,10,Normal,golf,,space,,
071819_3,N,4.18,11,Normal,pingpong,,space,,
071819_3,N,4.18,12,Normal,smallblock,,space,,
071819_3,N,4.18,13,Normal,bigblock,,bigblock,,
071819_3,N,4.18,14,Normal,bigblock,,space,,
071819_3,N,4.18,15,Normal,pingpong,,space,,
071819_3,N,4.18,16,Normal,bigblock,,pingpong,,
071819_3,N,4.18,17,Normal,golf,,bigblock,,
071819_3,Y,4.18,18,ArrangeTargets,,,,,
071819_3,N,4.18,19,Normal,golf,,space,,
071819_4,N,3.01,1,Normal,pingpong,,space,,
071819_4,N,3.01,2,Normal,golf,,bigblock,,
071819_4,N,3.01,3,Normal,bigblock,,space,,
071819_4,N,3.01,4,Normal,bigblock,,bigblock,,
071819_4,N,3.01,5,Normal,smallblock,,space,,
071819_4,N,3.01,6,Normal,pingpong,,space,,
071819_4,N,3.01,7,Normal,pingpong,,bigblock,,
071819_4,N,3.01,8,Normal,golf,,bigblock,,
071819_4,N,3.01,9,Normal,pingpong,,bigblock,,
071819_4,N,3.01,10,Normal,golf,,space,,
071819_4,N,3.01,11,Normal,bigblock,,space,,
071819_4,N,3.01,12,Normal,pingpong,,bigblock,,
071819_4,N,3.01,13,Normal,smallblock,,smallblock,,"placed, not dropped"
071819_4,N,3.01,14,Normal,golf,,space,,
071819_4,N,3.01,15,Normal,golf,,space,,
071819_4,N,3.01,16,Normal,golf,,space,,"placed, not dropped"
071819_4,N,3.01,17,Normal,pingpong,,space,,"placed, not dropped"
071819_4,N,3.01,18,Normal,bigblock,,bigblock,,"placed, not dropped"
071819_4,N,3.01,19,Normal,smallblock,,smallblock,,"placed, not dropped"
071819_4,N,3.01,20,Normal,smallblock,,bigblock,,
071819_5,N,2.67,1,Normal,golf,,space,,
071819_5,N,2.67,2,Normal,golf,,golf,,
071819_5,N,2.67,3,Normal,pingpong,,space,,
071819_5,N,2.67,4,Normal,golf,,golf,,
071819_5,N,2.67,5,Normal,golf,,golf,,
071819_5,N,2.67,6,Normal,golf,,space,,
071819_5,N,2.67,7,Normal,smallblock,,space,,
071819_5,N,2.67,8,Normal,golf,,golf,,
071819_5,N,2.67,9,Normal,golf,,smallblock,,
071819_5,N,2.67,10,Normal,pingpong,,space,,
071819_5,N,2.67,11,Normal,golf,,space,,
071819_5,N,2.67,12,Normal,bigblock,,space,,
071819_5,N,2.67,13,Normal,golf,,space,,
071819_5,N,2.67,14,Normal,bigblock,,space,,
071819_5,Y,2.67,15,ArrangeTargets,,,,,
071819_6,N,5.67,1,Normal,golf,,space,,
071819_6,N,5.67,2,Normal,bigblock,,smallblock,,
071819_6,N,5.67,3,Normal,smallblock,,space,,
071819_6,N,5.67,4,Normal,pingpong,,space,,
071819_6,N,5.67,5,Normal,golf,,space,,
071819_6,N,5.67,6,Normal,pingpong,,bigblock,,
071819_6,N,5.67,7,Normal,smallblock,,space,,
071819_6,N,5.67,8,Normal,golf,,bigblock,,
071819_6,N,5.67,9,Normal,bigblock,,space,,
071819_6,N,5.67,10,Normal,pingpong,,space,,
071819_7,N,3.01,1,Normal,golf,,golf,,
071819_7,N,3.01,2,Normal,pingpong,,space,,
071819_7,N,3.01,3,Normal,smallblock,,smallblock,,
071819_7,N,3.01,4,Normal,bigblock,,space,,
071819_7,N,3.01,5,Normal,golf,,space,,
071819_7,N,3.01,6,Normal,smallblock,,smallblock,,
071819_7,N,3.01,7,Normal,golf,,smallblock,,
071819_7,N,3.01,8,ArrangeTargets,golf,,bigblock,,switched locations of the four objects
071819_8,N,3.42,1,Normal,golf,,pingpong,,
071819_8,N,3.42,2,Normal,bigblock,,pingpong,,
071819_8,N,3.42,3,Normal,smallblock,,smallblock,,
071819_8,N,3.42,4,Normal,pingpong,,space,,
071819_8,N,3.42,5,Normal,smallblock,,pingpong,,
071819_8,N,3.42,6,Normal,golf,,space,,
071819_8,N,3.42,7,Normal,bigblock,,pingpong,,
071819_8,N,3.42,8,Normal,pingpong,,space,,
071819_8,N,3.42,9,Normal,bigblock,,space,,
071819_8,N,3.42,10,Normal,smallblock,,pingpong,,
071819_8,N,3.42,11,Normal,golf,,space,,
071819_8,N,3.42,12,Normal,pingpong,,space,,
071819_8,N,3.42,13,Normal,bigblock,,space,,
071819_8,N,3.42,14,Normal,golf,,smallblock,,
071819_8,N,3.42,15,Normal,smallblock,,smallblock,,
071819_8,N,3.42,16,Normal,golf,,space,,
071819_8,N,3.42,17,Normal,bigblock,,space,,
071819_8,N,3.42,18,ArrangeTargets,golf,,space,,put the pingpong ball closer to small block
071819_9,N,2.87,1,Normal,golf,,pingpong,,
071819_9,N,2.87,2,Normal,smallblock,,space,,
071819_9,N,2.87,3,Normal,bigblock,,space,,
071819_9,N,2.87,4,Normal,pingpong,,space,,
071819_9,N,2.87,5,Normal,golf,,space,,
071819_9,N,2.87,6,Normal,smallblock,,smallblock,,
071819_9,N,2.87,7,Normal,bigblock,,space,,
071819_9,N,2.87,8,Normal,pingpong,,space,,
071819_9,N,2.87,9,Normal,golf,,bigblock,,
071819_9,N,2.87,10,Normal,smallblock,,bigblock,,
071819_9,N,2.87,11,Normal,bigblock,,space,,
071819_9,N,2.87,12,Normal,pingpong,,space,,
071819_9,N,2.87,13,Normal,golf,,pingpong,,
071819_9,N,2.87,14,ArrangeTargets,bigblock,,space,,put toys to four corners
071819_10,Y,2.99,,,,,,,
