SID,Exclude,Age,Trial,TrialType,DropChoice,Point_DropLocation,DropLocation,DropOrientation,Notes
061819_1,N,5.10,1,Normal,golf,,space,NA,
061819_1,N,5.10,2,Normal,pingpong,,space,NA,
061819_1,N,5.10,3,Normal,smallblock,,space,NA,
061819_1,N,5.10,4,Normal,bigblock,,golf,palm on face,
061819_1,N,5.10,5,Normal,golf,,space,NA,
061819_1,N,5.10,6,Normal,smallblock,,space,palm on edge?,
061819_1,N,5.10,7,Normal,bigblock,,smallblock,NA,
061819_1,N,5.10,8,Normal,pingpong,,space,NA,
061819_1,N,5.10,9,Normal,bigblock,,space,palm on edge,
061819_1,N,5.10,10,Normal,smallblock,,space,palm on edge,
061819_1,N,5.10,11,Normal,golf,,space,NA,
061819_1,N,5.10,12,Normal,golf,,space,NA,
061819_1,N,5.10,13,Normal,smallblock,,space,palm on face,dropOrientation?
061819_1,N,5.10,14,Normal,pingpong,,smallblock,NA,
061819_1,N,5.10,15,Normal,bigblock,,space,NA,
061819_1,N,5.10,16,ArrangeTargets,golf,,,NA,rotated targets 45 degrees
061819_2,N,4.77,1,Normal,pingpong,,space,NA,
061819_2,N,4.77,2,Normal,bigblock,,bigblock,palm on edge,dropOrientation?
061819_2,N,4.77,3,Normal,golf,,golf,NA,
061819_2,N,4.77,4,Normal,smallblock,,smallblock,palm on vertex,dropOrientation?
061819_3,Y,2.00,1,Normal,,,,,"fussy, didn't do any trials, exact birthday unknown"
061819_4,N,3.66,1,Normal,golf,,space,NA,language-- used Chinese
061819_4,N,3.66,2,Normal,bigblock,,space,palm on edge,
061819_4,N,3.66,3,Normal,pingpong,,space,NA,
061819_4,N,3.66,4,Normal,smallblock,,space,palm on edge,dropOrientation?
061819_5,N,NA,1,Normal,golf,,smallblock,NA,
061819_5,N,NA,2,Normal,smallblock,,smallblock,NA,drop from too low
061819_5,N,NA,3,Normal,bigblock,,pingpong,NA,drop from too low
061819_5,N,NA,4,Normal,bigblock,,space,NA,throwed in from side
061819_5,N,NA,5,Normal,pingpong,,smallblock,NA,throwed in from side
061819_6,N,4.55,1,Normal,bigblock,,bigblock,palm on edge,
061819_6,N,4.55,2,Normal,golf,,golf,NA,
061819_6,N,4.55,3,Normal,smallblock,,golf,NA,
061819_6,N,4.55,4,Normal,pingpong,,space,NA,
061819_6,N,4.55,5,Normal,smallblock,,space,palm on face,
061819_6,N,4.55,6,Normal,bigblock,,space,palm on face,
061819_6,Y,4.55,7,ArrangeTargets,,,,,"""I want to put them in the same thing... same same ... where they are the same size"""
061819_7,N,4.55,1,Normal,bigblock,,bigblock,palm on face,
061819_7,N,4.55,2,Normal,pingpong,,space,NA,
061819_7,N,4.55,3,Normal,bigblock,,bigblock,palm on face,
061819_7,N,4.55,4,Normal,golf,,space,NA,
061819_7,N,4.55,5,Normal,bigblock,,bigblock,palm on face,
061819_7,N,4.55,6,Normal,smallblock,,space,palm on edge,
061819_7,N,4.55,7,Normal,smallblock,,smallblock,palm on face,"""yay! see I dropped it on the same toy too"""
061819_7,N,4.55,8,Normal,golf,,pingpong,NA,
061819_7,N,4.55,9,Normal,bigblock,,space,NA,
061819_7,N,4.55,10,Normal,pingpong,,space,NA,
061819_7,N,4.55,11,Normal,smallblock,,space,NA,
061819_7,Y,4.55,12,Normal,bigblock,,golf,NA,drop from too high
061819_7,N,4.55,13,Normal,smallblock,,space,palm on vertex,dropOrientation?
