episode,drop_target,collision_count,ground_object_1_distance_on_floor_contact,ground_object_2_distance_on_floor_contact,ground_object_3_distance_on_floor_contact,ground_object_1,ground_object_2,ground_object_3,ground_object_partitioning,drop_object_partitioning,available_drop_object_1,available_drop_object_2,available_drop_object_3,dropped_object,hit_object_before_ground
17250,RDumbbell,1,2.4823961495569073,2.517221312490456,0.5016257041547788,Pentagon,Bowl,RDumbbell,Bowl_Pentagon_RDumbbell,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,Pyramid,True
17251,floor,0,3.7657573320372317,2.215567107210926,4.347159133620724,Torus,TriangularPrism,Pyramid,Pyramid_Torus_TriangularPrism,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,Torus,False
17252,floor,0,3.728533455262317,2.24888790068296,3.2655704166453443,Pentagon,Bowl,RDumbbell,Bowl_Pentagon_RDumbbell,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,TriangularPrism,False
17253,RDumbbell,1,1.2115596680900727,1.908403306462326,0.6136129563739661,Pentagon,Bowl,RDumbbell,Bowl_Pentagon_RDumbbell,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Pipe,False
17254,Pentagon,2,2.071713952820452,1.7349200778790828,0.6401991415628921,Bowl,RDumbbell,Pentagon,Bowl_Pentagon_RDumbbell,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Cone,True
17255,floor,0,2.4006425637159756,3.642041676435069,2.9875235462584095,TriangularPrism,Torus,Pyramid,Pyramid_Torus_TriangularPrism,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,TriangularPrism,False
17256,floor,0,3.212018135427678,3.332586610189958,2.767035179274259,Cone,Octahedron,Pipe,Cone_Octahedron_Pipe,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,Torus,False
17257,floor,0,2.1697397248238874,1.2869842254366817,1.667766403720961,Pipe,Octahedron,Cone,Cone_Octahedron_Pipe,Pyramid_Torus_TriangularPrism,Pyramid,Torus,TriangularPrism,TriangularPrism,False
17258,TriangularPrism,2,2.443520920052182,0.5535955963875829,2.8007295065696205,Torus,TriangularPrism,Pyramid,Pyramid_Torus_TriangularPrism,Bowl_Pentagon_RDumbbell,Bowl,RDumbbell,Pentagon,RDumbbell,False
17259,TriangularPrism,1,2.5722686879916674,2.8549867990384503,0.8167796599651743,Pyramid,Torus,TriangularPrism,Pyramid_Torus_TriangularPrism,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Pipe,True
17260,RDumbbell,2,0.8072330583981843,1.8550041701505273,0.9403450579988731,RDumbbell,Pentagon,Bowl,Bowl_Pentagon_RDumbbell,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Octahedron,True
17261,floor,0,1.7182393631380783,1.7761204592040223,2.02630565099959,Pyramid,Torus,TriangularPrism,Pyramid_Torus_TriangularPrism,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Cone,False
17262,floor,0,2.947402691565315,1.180755168195622,2.449584766982745,Pentagon,RDumbbell,Bowl,Bowl_Pentagon_RDumbbell,Bowl_Pentagon_RDumbbell,Bowl,RDumbbell,Pentagon,Pentagon,False
17263,floor,0,2.4832326458197382,3.3438548807404964,4.729125857760173,Octahedron,Cone,Pipe,Cone_Octahedron_Pipe,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Pipe,False
17264,floor,0,2.3942735142325504,2.8400325116276717,3.322464961002221,Octahedron,Cone,Pipe,Cone_Octahedron_Pipe,Bowl_Pentagon_RDumbbell,Bowl,RDumbbell,Pentagon,Pentagon,False
17265,floor,0,1.77409953226808,2.874690631608451,0.8585949874849012,Pipe,Octahedron,Cone,Cone_Octahedron_Pipe,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Octahedron,False
17266,floor,0,3.4797546545694025,2.4884797989227794,3.021765863736378,Octahedron,Pipe,Cone,Cone_Octahedron_Pipe,Cone_Octahedron_Pipe,Cone,Octahedron,Pipe,Cone,False
