Exclusion,SC0,13a_1,13b_1,14a_1,14b_1,15a_1,15b_1,17a_1,17b_1,18a_1,18b_1,20a_1,20b_1,21a_1,21b_1,22a_1,22b_1,23a_1,23b_1,24a_1,24b_1,26a_1,26b_1,27a_1,27b_1,28a_1,28b_1,29a_1,29b_1,30a_1,30b_1,32a_1,32b_1,33a_1,33b_1,35a_1,35b_1,36a_1,36b_1,37a_1,c1-14a,c2-21a,c3-22a,c4-28a,Q8_1,Q9,Random ID
,,dumbbell-pipe,dumbbell-pyramid,pipe-cone,pipe-octahedron,torus-cone,torus-dumbbell,bowl-pyramid,bowl-trig prism,octahedron-pipe,octahedron-sphere,sphere-bowl,sphere-pentagon,pentagon-bowl,pentagon-sphere,trig prism-bowl,trig prism-dumbbell,cone-torus,cone-octahedron,pyramid-torus,pyramid-dumbbell,torus-bowl,torus-octahedron,dumbbell-pentagon,dumbbell-octahedron,cone-trig prism,cone-sphere,pipe-torus,pipe-dumbbell,trig prism-pentagon,trig prism-cone,pentagon-pipe,pentagon-pyramid,pyramid-trig prism,pyramid-sphere,octahedron-pentagon,octahedron-pyramid,sphere-pipe,sphere-cone,bowl-torus,,,,,Sample: pyramid-pipe,,
,4,4,1,4,1,4,2,2,1,2,1,4,1,2,1,1,1,3,1,3,1,3,1,3,1,3,1,3,2,1,1,3,1,3,1,1,1,2,1,4,c),b),a),a),2,b),94704
,3,2,1,4,1,4,1,3,1,2,1,4,2,2,1,2,1,4,1,4,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,3,1,2,a),b),a),a),2,b),21633
,4,4,1,2,1,3,1,4,1,4,1,4,1,2,1,2,1,4,1,3,1,2,1,2,1,4,1,3,1,4,1,5,1,2,1,2,1,4,1,4,c),b),a),a),1,b),33980
,4,5,1,4,1,3,1,2,1,1,1,3,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,3,c),b),a),a),1,b),71180
,4,3,1,5,1,5,1,4,1,5,1,6,1,1,1,3,1,6,1,6,1,5,1,2,1,4,1,4,1,4,1,4,1,3,1,2,1,3,1,4,c),b),a),a),4,b),60280
,4,2,1,5,2,5,1,3,2,4,1,5,1,2,1,2,1,4,1,4,1,3,2,2,1,2,1,3,2,3,1,3,1,2,1,2,1,4,1,2,c),b),a),a),2,b),40587
,4,3,1,5,4,5,1,4,1,2,1,5,1,4,2,1,1,5,1,4,1,3,2,2,1,2,1,3,1,4,1,2,1,2,1,1,1,2,1,3,c),b),a),a),2,b),83291
,4,6,1,5,2,6,2,4,2,3,1,5,2,5,1,4,1,4,1,3,1,3,2,3,1,3,1,3,2,4,1,3,1,3,1,2,1,2,1,3,c),b),a),a),1,b),79509
,4,2,1,4,2,5,3,3,3,4,1,5,1,2,1,1,1,2,1,3,1,3,3,3,1,5,1,5,1,5,1,6,1,4,1,5,1,2,1,3,c),b),a),a),2,b),98753
,4,5,1,5,4,6,1,3,1,3,1,6,2,2,1,2,1,5,1,5,1,3,4,2,1,2,1,4,1,3,1,4,1,3,1,3,1,6,1,4,c),b),a),a),2,b),64055
,4,3,1,4,2,5,2,6,1,4,1,5,2,3,1,3,1,5,1,6,1,5,2,4,1,4,1,4,2,3,1,5,1,5,1,2,1,4,1,5,c),b),a),a),3,b),80913
,3,3,1,4,1,5,1,3,1,2,1,6,1,5,1,2,1,4,1,4,1,4,1,2,1,3,1,4,1,4,1,3,1,4,1,1,1,3,1,2,a),b),a),a),1,b),92635
,4,5,1,5,1,3,1,4,1,3,1,6,2,3,1,3,1,4,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,3,1,4,c),b),a),a),1,b),75615
,4,3,1,5,1,5,1,3,1,3,1,5,2,2,1,2,1,5,1,5,1,4,1,3,1,3,1,4,1,2,1,3,1,2,1,1,1,3,1,5,c),b),a),a),5,b),33335
,4,1,1,3,1,2,1,2,2,2,1,3,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,c),b),a),a),1,b),43937
,3,3,1,3,1,3,1,3,1,2,1,5,2,1,1,2,1,3,1,3,1,2,1,1,1,3,1,2,1,2,1,3,1,2,1,1,1,2,1,1,a),b),a),a),1,b),18686
,4,2,1,3,1,2,1,2,1,2,1,4,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,c),b),a),a),1,b),43570
,3,4,1,6,2,5,1,5,1,3,1,6,1,3,1,3,2,6,1,6,2,4,3,2,1,2,3,3,1,3,1,3,1,2,5,2,1,5,1,2,a),b),a),a),1,b),79546
,4,2,1,3,1,2,1,3,2,2,1,3,1,2,1,2,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,c),b),a),a),2,b),28819
,4,3,1,3,2,3,1,3,1,2,1,4,1,3,1,3,1,3,1,3,1,3,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,3,c),b),a),a),2,b),66893
,3,1,1,4,1,5,3,5,1,3,1,6,1,3,1,4,2,5,1,6,1,4,2,2,1,3,4,3,1,3,1,2,1,3,1,2,1,1,1,5,a),b),a),a),3,b),89350
,4,4,1,2,1,5,1,1,1,3,1,5,1,3,1,3,1,5,1,3,1,5,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,c),b),a),a),1,b),93635
,3,4,1,6,1,5,2,4,1,2,1,6,2,4,1,2,1,5,1,5,1,4,1,2,1,2,1,2,3,3,1,2,1,3,1,1,1,4,1,3,b),b),a),a),2,b),80550
,4,4,1,5,1,5,1,5,1,5,1,5,1,4,1,4,1,5,1,4,1,1,1,2,1,2,1,4,1,4,1,4,1,2,1,1,1,4,1,2,c),b),a),a),3,b),63615
,4,5,1,2,2,4,1,4,1,1,1,6,1,3,1,2,1,2,1,2,1,3,1,1,1,3,1,2,1,5,1,3,1,2,1,2,1,3,1,5,c),b),a),a),2,b),72312
,4,3,1,4,1,5,1,5,1,4,1,6,1,5,1,4,1,5,1,5,1,4,2,3,1,4,1,3,1,4,1,4,1,4,1,1,1,4,1,2,c),b),a),a),1,b),37316
,3,5,1,4,2,6,3,5,3,5,1,5,1,4,1,4,3,5,1,4,2,4,1,4,1,4,1,4,3,4,1,5,1,4,1,2,1,6,1,3,c),b),a),c),1,b),77937
,4,5,1,6,2,5,1,4,1,5,1,6,2,3,1,3,1,6,1,5,1,4,2,3,1,2,1,3,1,4,2,3,2,3,2,2,2,6,1,2,c),b),a),a),1,b),18126
,4,2,1,4,1,4,1,4,1,2,1,3,1,2,1,2,1,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,c),b),a),a),2,b),79990
,3,2,6,1,6,1,6,1,6,4,6,3,6,4,6,4,6,1,6,1,6,6,6,4,6,3,6,4,6,1,6,3,6,1,6,5,4,1,6,6,a),b),a),a),6,b),58257
,4,4,1,4,2,6,1,5,2,6,1,5,2,4,1,5,1,6,1,4,1,5,3,2,1,3,1,5,1,5,1,5,1,3,2,2,1,6,1,5,c),b),a),a),2,b),17530
,4,5,1,6,2,6,1,5,2,5,1,6,2,2,1,2,1,6,1,6,1,4,2,3,1,4,1,5,1,6,1,4,1,4,1,3,1,4,1,3,c),b),a),a),4,b),73067
,3,3,1,3,1,3,1,3,2,3,1,3,1,2,1,1,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,2,2,2,1,2,1,2,c),c),a),a),2,b),68530
,4,4,1,4,1,5,1,3,1,3,1,5,1,2,1,1,1,5,1,2,1,3,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,4,1,3,c),b),a),a),2,b),48185
,3,5,1,5,1,6,1,6,1,6,1,5,2,3,1,2,1,6,1,5,1,2,1,1,1,4,1,2,1,4,1,5,1,3,1,2,1,4,1,2,a),b),a),a),2,b),42009
Y,2,2,1,5,3,5,1,3,1,1,1,5,1,1,1,1,1,5,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,a),a),a),a),2,b),89685
,4,2,1,4,3,5,1,3,1,3,1,5,1,2,1,2,1,5,1,3,1,2,3,1,1,2,1,2,1,2,1,2,1,2,1,1,1,3,1,1,c),b),a),a),1,b),21825
,3,4,1,5,1,4,2,5,2,2,1,3,5,3,1,4,1,5,1,4,1,2,1,2,1,3,1,3,1,5,1,4,1,3,1,1,3,4,1,3,c),c),a),a),2,b),36912
,4,2,1,3,2,4,1,3,1,1,1,3,1,2,1,2,1,3,1,2,1,3,3,2,1,2,1,3,1,3,1,3,1,2,1,3,1,2,1,4,c),b),a),a),2,b),68015
,4,2,1,4,1,4,1,4,1,2,1,5,1,5,1,4,1,5,1,4,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,c),b),a),a),1,b),55451
,3,6,1,4,1,6,1,3,1,4,1,6,2,4,1,5,1,5,1,5,1,5,1,4,1,6,1,5,1,5,2,6,1,5,2,2,3,5,1,5,a),b),a),a),4,b),82938
,4,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,c),b),a),a),2,b),99765
,4,6,1,6,1,6,1,6,1,1,1,6,1,6,6,1,1,6,1,6,1,6,1,1,1,6,1,6,1,6,1,6,1,6,1,1,1,6,6,6,c),b),a),a),4,b),35093
,3,6,1,6,5,6,1,6,2,6,1,6,1,6,1,6,1,6,1,4,1,1,5,1,1,5,1,4,1,5,1,5,1,5,1,5,1,6,1,1,a),b),a),a),1,b),51140
,4,1,2,4,2,4,2,4,2,4,1,3,2,3,1,1,2,2,2,4,2,4,2,2,1,2,2,3,1,2,1,3,1,2,2,2,2,2,2,5,c),b),a),a),4,b),45321
,4,3,1,4,1,3,1,3,1,2,1,3,1,2,1,2,1,4,1,3,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,c),b),a),a),2,b),10257
,3,5,1,5,1,5,2,4,1,4,1,6,2,2,1,2,2,3,1,5,1,4,2,3,1,3,2,4,1,2,1,5,2,3,1,1,2,5,1,3,c),c),a),a),2,b),29951
