Exclusion,SC0,13a_1,13b_1,14a_1,14b_1,15a_1,15b_1,17a_1,17b_1,18a_1,18b_1,20a_1,20b_1,21a_1,21b_1,22a_1,22b_1,23a_1,23b_1,24a_1,24b_1,26a_1,26b_1,27a_1,27b_1,28a_1,28b_1,29a_1,29b_1,30a_1,30b_1,32a_1,32b_1,33a_1,33b_1,35a_1,35b_1,36a_1,36b_1,37a_1,c1-14a,c2-21a,c3-22a,c4-28a,Q8_1,Q9,Random ID
,,dumbbell-pipe,dumbbell-pyramid,pipe-cone,pipe-octahedron,torus-cone,torus-dumbbell,bowl-pyramid,bowl-trig prism,octahedron-pipe,octahedron-sphere,sphere-bowl,sphere-pentagon,pentagon-bowl,pentagon-sphere,trig prism-bowl,trig prism-dumbbell,cone-torus,cone-octahedron,pyramid-torus,pyramid-dumbbell,torus-bowl,torus-octahedron,dumbbell-pentagon,dumbbell-octahedron,cone-trig prism,cone-sphere,pipe-torus,pipe-dumbbell,trig prism-pentagon,trig prism-cone,pentagon-pipe,pentagon-pyramid,pyramid-trig prism,pyramid-sphere,octahedron-pentagon,octahedron-pyramid,sphere-pipe,sphere-cone,bowl-torus,,,,,Sample: pyramid-pipe,,
Y,2,4,1,4,1,5,2,3,1,1,1,6,2,2,1,2,1,5,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,2,b),a),a),a),1,b),92089
,4,5,1,4,1,5,3,3,1,3,3,6,1,3,2,4,1,3,2,4,2,2,1,1,2,2,2,1,1,2,2,1,2,3,1,2,1,5,1,2,c),b),a),a),1,b),93644
,3,6,1,4,2,6,2,4,1,4,3,6,2,3,1,4,1,5,1,4,1,3,3,2,1,4,3,2,1,3,1,3,1,3,1,2,1,5,1,3,a),b),a),a),1,b),58741
,3,2,1,3,1,4,1,4,1,4,1,5,1,1,1,1,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,a),b),a),a),1,b),80426
,4,5,1,5,1,5,1,5,1,5,1,5,1,4,1,3,1,5,1,5,1,2,1,1,1,2,1,1,1,2,1,2,1,4,1,1,1,5,1,2,c),b),a),a),3,b),89419
,4,6,1,6,1,6,1,3,1,6,6,6,2,1,1,2,1,6,1,5,1,5,1,2,1,4,6,2,1,4,6,3,4,4,5,2,4,6,5,3,c),b),a),a),4,b),14916
,3,1,1,4,1,4,1,3,1,3,2,4,2,1,1,2,1,2,1,3,1,4,2,2,1,2,2,3,2,4,1,1,1,1,1,1,1,3,1,5,a),b),a),a),4,b),18653
,4,5,2,6,3,6,3,5,3,5,2,6,3,4,2,3,2,6,1,6,1,3,4,2,1,3,2,2,4,4,1,3,2,4,2,2,2,5,2,3,c),b),a),a),2,b),46062
,4,4,1,4,2,2,2,1,1,5,6,5,3,3,1,2,2,4,3,6,3,2,2,1,2,2,5,2,5,1,2,2,2,1,2,3,4,3,4,5,c),b),a),a),2,b),82004
,4,5,2,5,1,6,2,4,1,6,5,6,3,4,2,4,2,5,2,6,1,2,1,3,2,6,5,4,1,5,3,5,4,5,4,3,4,6,3,5,c),b),a),a),2,b),38392
,3,3,2,3,2,3,2,3,1,2,2,3,2,2,2,2,2,3,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,a),b),a),a),2,b),98736
,3,3,1,4,1,3,1,3,1,1,1,4,2,2,1,2,1,3,1,3,1,4,1,3,1,2,2,3,1,2,1,3,1,2,1,1,1,3,1,4,a),b),a),a),1,b),41873
,4,6,3,6,4,6,4,5,4,6,4,6,4,4,4,5,3,6,3,6,3,3,4,3,3,4,4,4,5,4,3,4,3,4,3,4,3,5,4,4,c),b),a),a),3,b),28686
,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,a),b),a),a),1,b),80848
,3,4,3,6,4,3,2,3,3,2,4,3,2,2,3,3,1,3,3,5,3,3,2,1,2,2,4,2,2,1,2,3,2,3,1,2,2,2,2,3,a),b),a),a),4,b),94684
,4,5,1,6,1,6,1,5,1,4,1,6,3,2,1,1,1,6,1,6,1,4,1,2,1,4,2,1,1,3,1,4,1,3,1,2,1,6,1,3,c),b),a),a),4,b),66869
,3,4,1,5,5,5,1,3,2,4,1,6,3,2,2,4,1,6,2,6,2,4,5,3,1,4,2,3,2,3,1,4,2,4,2,3,2,6,3,5,b),b),a),a),5,b),42613
,3,4,1,6,4,5,1,5,1,4,1,6,3,4,1,1,1,5,1,5,1,5,4,4,1,2,5,3,1,4,1,1,1,4,1,2,1,6,1,5,a),b),a),a),5,b),40378
Y,2,5,3,1,2,5,4,4,3,4,3,5,3,4,5,1,4,6,4,6,5,3,4,5,3,4,4,4,2,4,4,5,3,3,3,4,3,4,4,2,a),a),a),a),2,b),30613
,4,5,3,6,2,5,2,5,2,5,3,6,4,4,3,3,1,6,2,6,2,5,2,3,1,3,2,3,2,2,2,4,3,3,2,2,2,5,6,5,c),b),a),a),4,b),95478
,3,4,1,4,1,1,1,2,1,3,1,3,3,2,1,3,1,3,3,3,1,3,3,2,4,4,1,2,1,3,1,3,1,3,1,3,2,2,1,4,b),b),a),a),1,b),39396
,4,5,1,5,4,6,4,6,1,4,1,6,1,6,1,5,1,5,1,4,1,5,1,2,1,4,5,5,1,1,1,3,1,4,2,1,5,5,1,5,c),b),a),a),2,b),49414
,4,5,6,6,2,5,2,2,1,3,5,6,1,3,2,2,1,4,2,2,1,6,3,2,2,1,5,2,2,2,2,2,3,2,4,1,2,5,5,3,c),b),a),a),4,b),10535
,3,6,1,6,1,6,3,4,1,6,1,6,1,2,1,2,1,6,1,5,1,2,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,5,1,2,a),b),a),a),3,b),41047
,3,5,1,5,4,5,2,3,1,3,1,5,1,1,1,1,1,5,1,3,1,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4,1,2,a),b),a),a),1,b),85841
,3,6,2,6,2,6,2,5,2,6,6,6,2,5,2,3,2,6,3,4,2,5,6,3,2,6,3,2,4,6,2,6,2,6,2,5,1,6,3,6,a),b),a),a),6,b),85052
Y,2,6,1,5,1,6,3,5,1,3,2,6,3,5,1,3,1,4,1,3,1,4,1,3,1,4,3,3,1,4,1,3,2,4,1,4,1,5,1,4,a),c),a),a),2,b),83945
,4,6,1,6,3,5,2,4,2,5,1,5,4,3,1,5,1,5,1,5,1,4,3,3,1,2,2,3,2,4,1,3,1,4,2,2,1,5,1,3,c),b),a),a),4,b),14210
,4,5,1,5,2,5,2,3,3,4,4,6,4,3,3,3,2,2,2,2,2,5,2,3,2,4,2,5,2,2,3,3,2,3,2,3,3,5,3,4,c),b),a),a),4,b),29068
,4,4,3,5,3,5,3,4,3,3,2,5,3,4,3,3,3,4,3,4,2,3,4,3,2,2,2,2,3,3,3,3,3,4,2,2,2,4,3,3,c),b),a),a),4,b),69110
,4,5,1,6,3,6,1,6,1,6,1,6,4,3,1,1,1,6,1,4,1,6,6,2,1,1,4,2,2,3,1,2,1,4,2,1,2,6,1,6,c),b),a),a),4,b),89891
,4,4,3,4,3,3,2,4,2,4,2,4,2,3,2,4,2,4,2,4,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,c),b),a),a),3,b),21976
,3,5,5,5,5,6,3,5,4,5,2,6,6,4,2,3,2,5,3,5,3,3,6,3,4,1,4,3,1,2,2,2,3,3,2,2,1,6,5,4,a),b),a),a),3,b),16357
,4,5,2,6,5,5,1,4,2,4,2,6,2,5,2,3,2,6,1,4,2,4,4,3,1,3,1,3,2,3,2,2,2,3,2,2,2,5,2,2,c),b),a),a),2,b),90003
,4,4,2,3,2,3,3,3,2,4,4,4,3,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,4,3,2,2,4,4,2,2,c),b),a),a),2,b),18172
,4,5,1,5,3,6,3,6,1,5,3,6,1,5,2,4,1,5,1,4,1,2,3,1,1,4,2,2,1,1,1,2,2,4,1,3,1,6,1,4,c),b),a),a),2,b),92691
Y,2,3,2,5,2,5,3,2,2,4,6,5,3,4,2,3,2,4,2,3,3,4,2,3,3,4,4,3,2,2,2,3,4,4,4,4,2,5,2,5,b),c),a),a),5,b),90356
Y,2,5,5,2,6,1,5,4,6,3,5,6,5,5,5,4,6,1,6,2,6,2,5,6,6,4,6,4,5,4,6,4,5,4,6,6,6,2,6,4,a),c),a),a),3,b),74331
,4,5,1,5,4,5,1,4,2,6,1,5,1,1,1,4,1,5,1,5,1,1,5,1,2,3,2,2,1,1,1,2,1,3,2,1,1,5,1,1,c),b),a),a),3,b),97625
,3,5,1,4,2,4,2,4,2,4,2,6,4,3,2,2,1,5,2,4,1,2,2,5,1,4,2,3,1,4,2,3,2,3,3,3,1,4,3,3,a),b),a),a),2,b),57404
,3,6,6,6,6,6,1,6,1,6,3,6,3,6,1,1,6,6,6,6,1,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,1,6,6,6,c),c),a),a),6,b),67369
,3,1,5,1,1,1,4,3,5,1,3,1,4,5,6,4,6,1,5,2,5,1,1,2,5,2,2,5,4,4,6,3,5,3,3,2,4,1,2,2,a),b),a),a),3,b),23362
,4,3,1,3,1,5,1,3,1,2,1,5,3,2,1,2,1,4,1,2,1,2,2,2,1,2,1,2,1,4,1,3,1,3,2,1,1,4,1,2,c),b),a),a),2,b),98907
,4,6,1,6,6,6,2,6,1,6,4,6,5,5,1,6,1,6,1,6,1,5,4,4,1,6,5,5,2,5,1,1,1,6,1,5,1,6,1,4,c),b),a),a),4,b),42169
,3,6,3,6,4,6,1,6,2,2,4,6,5,4,2,5,1,6,2,6,1,6,2,3,3,5,3,5,2,5,3,3,2,4,2,2,4,6,3,5,a),b),a),a),6,b),57532
,3,5,3,6,2,5,3,3,1,3,2,6,6,3,2,4,3,6,1,4,1,1,3,6,1,3,3,1,3,5,2,4,4,4,2,2,1,6,2,3,a),b),a),a),5,b),51547
,4,5,2,6,2,6,3,5,2,5,5,6,3,3,2,3,3,5,2,6,2,5,3,4,1,4,3,5,5,4,2,3,3,3,2,2,5,5,2,5,c),b),a),a),5,b),78787
,4,6,1,6,1,6,1,6,1,6,3,6,1,2,1,2,1,6,1,2,1,4,1,1,1,6,1,5,1,2,1,5,1,6,1,3,1,6,1,5,c),b),a),a),1,b),19068
,3,5,1,4,1,5,1,2,1,2,1,5,2,1,1,2,1,2,1,2,1,3,1,2,1,2,2,1,1,3,1,1,1,2,1,2,1,5,1,2,a),b),a),a),1,b),82157
Y,,,,1,,,,,,,2,,,,,,,,,2,,5,,1,,,2,,2,,,,1,,,,2,,,4,,,,,3,b),95570
Y,2,4,4,5,,5,4,4,,,3,5,4,4,3,3,4,2,3,5,,4,,4,,,5,,5,5,3,,4,4,4,,4,5,3,2,a),b),a),,1,b),78323
Y,1,1,1,1,,2,1,1,,,5,,1,3,3,,2,4,,5,,2,,2,,,5,,4,1,2,,2,,2,,5,1,3,2,a),b),,,4,b),59058
,4,3,2,4,1,5,2,4,1,5,2,3,2,3,1,4,2,5,1,4,1,5,5,3,1,4,2,2,2,4,1,5,2,5,2,1,1,3,1,5,c),b),a),a),4,b),89470
