SID,Exclude,Age,Trial,TrialType,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U01435,N,4,3,Normal,torus,,cone,,,,
M2U01435,N,4,4,Normal,pyramid,,space,torus,,,
M2U01435,N,4,5,Normal,dumbbell,,trig prism,,,,
M2U01435,N,4,6,Normal,bowl,,pyramid,,,,
M2U01435,N,4,7,Normal,cone,,bowl,,,,
M2U01435,N,4,8,Normal,pipe,,pentagon,,,,
M2U01435,N,4,9,Normal,trig prism,,cone,,,,
M2U01435,N,4,10,Normal,torus,,space,cone,,octahedron,
M2U01435,N,4,11,Normal,bowl,,trig prism,,,,
M2U01435,N,4,12,Normal,dumbbell,,trig prism,,,,
M2U01434,N,4,1,Normal,pipe,,space,pyramid,,,
M2U01434,N,4,2,Normal,octahedron,,trig prism,,,,
M2U01434,N,4,3,Normal,dumbbell,,space,cone,,trig prism,
M2U01434,N,4,4,Normal,pentagon,,cone,,,,
M2U01434,N,4,5,Normal,torus,,bowl,,,,
M2U01434,N,4,6,Normal,pyramid,,space,bowl,,,
M2U01434,N,4,7,Normal,trig prism,,pyramid,,,,
M2U01434,Y,4,8,Normal,pipe,,space,pyramid,wrong set combo ,,
M2U01434,N,4,9,Normal,bowl,,cone,,,,
M2U01434,N,4,10,Normal,dumbbell,,cone,,,,
M2U01434,N,4,11,Normal,octahedron,,bowl,,,,
M2U01434,N,4,12,Normal,torus,,bowl,,,,
M2U01434,N,4,13,Normal,pipe,,torus,,,,
M2U01434,N,4,14,Normal,cone,,pyramid,,,,
M2U01433,N,4,1,Normal,octahedron,,bowl,,,,
M2U01433,N,4,2,Normal,cone,,space,dumbbell,,,
M2U01433,N,4,3,Normal,torus,,space,cone,,,
M2U01433,N,4,4,Normal,trig prism,,cone,,,,
M2U01433,N,4,5,Normal,dumbbell,,space,trig prism to torus,,,
M2U01433,N,4,6,Normal,bowl,,trig prism,,,,
M2U01433,N,4,7,Normal,cone,,space,pentagon,,,
M2U01433,N,4,8,Normal,cone,,dumbbell,,,,
M2U01433,N,4,9,Normal,torus,,space,pipe,,cone,
M2U01433,N,4,10,Normal,trig prism,,cone,,,,
