SID,exclude,age_rounded,age_group,number_stack,height_tallest,height_stack2,height_stack3,numadjacent_nonstack1,numadjacent_nonstack1,base_tallest,top_tallest,base_2,tallest_objects,stack2_object,stack3_objects,adjacent_objects1,adjacent_objects2,leaning1,leaning2,notes
121619_08,Y,3.7,3,1,7,,,,,torus,,"torus, trig prism","torus, trig prism, pentagon, pyramid, torus, octahedron, bowl",,,,,,,"got some help with balancing, bc was getting stressed"
121619_09,,5.67,5,1,3,,,2,,torus,,"torus, cone","torus, cone, bowl",,,"dumbbell, pyramid",,pyramid,,check if adjacent is intentional from video
121619_10,Y,3.94,3,1,4,,,2,,cone,,"cone, torus","cone, torus, bowl, pentagon",,,"trig prism, octahedron",,trig prism,,"got some help with balancing, bc was getting stressed"
121619_11,,5.47,5,1,3,,,,,pipe,,"pipe, torus","pipe, torus, dumbbell",,,,,,,
121619_12,,2.91,2,1,4,,,,,bowl,,"bowl, pipe","bowl, pipe, torus, cone",,,,,,,
121719_01,,3.87,3,1,4,,,,,pipe,,"pipe, torus","pipe, torus, pentagon, trig prism",,,,,,,
121719_02,,3.91,3,1,5,,,,,pentagon,,"pentagon, bowl","pentagon, bowl, pipe, torus, pyramid",,,,,,,
121719_03,,3.91,3,3,2,2,2,,,trig prism,,"trig prism, pyramid","trig prism, pyramid","pentagon, cone","pipe, torus",,,,,
121719_04,,4.75,4,2,4,2,,3,2,pipe,,"pipe, torus","pipe, torus, cone, pentagon","dumbbell, trig prism",,"pyramid, dumbbell, trig prism","octahedron, bowl",pyramid,bowl,"pyramid is leaning on stack2, helping keep trig prism on dumbbell"
121719_05,,5.76,5,1,5,,,,,torus,,"torus, pipe","torus, pipe, pentagon, bowl, cone",,,,,,,
121719_06,,5.74,5,2,3,2,,,,octahedron,,"octahedron, pipe","octahedron, pipe, dumbbell","cone, torus",,,,,,
121819_01,,4.74,4,3,2,2,,,,torus,,"torus, pipe","torus, pipe, dumbbell","pentagon, pyramid","octahedron+trig prism, cone",,,,,
121819_02,,4.02,4,2,4,2,,3,,cone,,"cone, torus","cone, torus, pipe, octahedron","pentagon, pyramid",,"dumbbell, bowl, trig prism",,dumbbell,,
121819_03,,3.88,3,1,3,,,,,pipe,,"pipe, bowl","pipe, bowl, cone",,,,,,,
121819_04,,3.67,3,1,2,,,4,,pipe,,"pipe, trig prism","pipe, trig prism",,,"dumbbell, torus, pipe, trig prism",,dumbbell,torus,
121819_05,,4.93,4,1,2,,,,,pipe,,"pipe, cone","pipe, cone",,,,,,,
121819_06,,3.14,3,1,4,,,,,torus,,"torus, pipe","torus, pipe, cone, bowl",,,,,,,
121819_07,,5.11,5,1,6,,,,,torus,,"torus, bowl","torus, bowl, pipe, pentagon, trig prism, cone",,,,,,,
121819_08,,4.38,4,1,2,,,,,bowl,,"bowl, cone","bowl, cone",,,,,,,
121919_01,,3.16,3,3,2,2,2,,,trig prism,,"trig prism, pentagon","trig prism, pentagon","pipe, bowl","torus, cone",,,,,
121919_02,,2.97,2,1,3,,,,,octahedron,,"octahedron, bowl","octahedron, bowl, dumbbell",,,,,,,
121919_03,,4.34,4,2,3,2,,,,pentagon,,"pentagon, pipe","pentagon, pipe, trig prism","octahedron, cone",,,,,,
