Video,SID,Exclude,Age,Trial,Condition,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U01449,121119_03,,3,6,1,pyramid,,bowl,,,,
M2U01449,121119_03,,3,7,1,pentagon,,pyramid,,,,
M2U01449,121119_03,,3,8,1,bowl,,space,pyramid,,torus,
M2U01449,121119_03,,3,9,1,torus,,space,pipe,,,
M2U01449,121119_03,,3,10,1,pyramid,,space,pipe,,,
M2U01449,121119_03,,3,11,1,pipe,,space,pentagon,,pentagon,
M2U01449,121119_03,,3,12,1,cone,,dumbbell,,,,
M2U01450,121119_04,,5,1,2,cone,,bowl,,,,
M2U01450,121119_04,,5,2,2,pipe,,pentagon,,,,
M2U01450,121119_04,,5,3,2,torus,,cone,,,,
M2U01450,121119_04,,5,4,2,torus,,cone,,,,
M2U01450,121119_04,,5,5,2,dumbbell,,torus,,,,
M2U01450,121119_04,,5,6,2,pentagon,,trig prism,,,,
M2U01450,121119_04,,5,7,2,torus,,bowl,,,,
M2U01450,121119_04,Y,5,8,2,pyramid,,bowl,,sis interferes,,
M2U01450,121119_04,,5,9,2,dumbbell,,pipe,,,,
M2U01450,121119_04,,5,10,2,pentagon,,space,octahedron,,octahedron,
M2U01450,121119_04,,5,11,2,cone,,torus,,cone goes into torus,,
M2U01450,121119_04,,5,12,2,pipe,,pyramid,,,,
M2U01451,121119_05,,2,1,1,pipe,,pyramid,,,,
M2U01451,121119_05,,2,2,1,octahedron,,pyramid,,,,
M2U01451,121119_05,Y,2,3,1,dumbbell,,space,cone,placed,,
M2U01451,121119_05,Y,2,4,1,bowl,,space,octahedron,placed,,
M2U01451,121119_05,,2,5,1,torus,,bowl,,dropped from right above bowl,,
M2U01451,121119_05,,2,6,1,pyramid,,dumbbell,,,,
M2U01451,121119_05,,2,7,1,dumbbell,,trig prism,,,,
M2U01451,121119_05,,2,8,1,bowl,,trig prism,,,,
M2U01451,121119_05,Y,2,9,1,torus,,bowl,,placed,,
M2U03279,121119_06,,3,1,2,pipe,,dumbbell,,,,
M2U03279,121119_06,,3,2,2,octahedron,,dumbbell,,dumbbell then bowl,bowl,2
M2U03279,121119_06,,3,3,2,torus,,cone,,,,
M2U03279,121119_06,,3,4,2,pyramid,,space,cone,,,
M2U03279,121119_06,,3,5,2,bowl,,pyramid,,,,
M2U03279,121119_06,,3,6,2,dumbbell,,space,pyramid,,torus,
M2U03279,121119_06,,3,7,2,torus,,space,dumbbell,,,
M2U03279,121119_06,,3,8,2,pyramid,,space,edge/dumbbell,,,
M2U03279,121119_06,,3,9,2,bowl,,octahedron,,,,
M2U03279,121119_06,,3,10,2,dumbbell,,space,cone,,,
M2U03279,121119_06,,3,11,2,pipe,,space,torus,,pyramid,
M2U03279,121119_06,,3,12,2,pipe,,space,trig prism,,pyramid,
M2U03280,121119_07,,3,1,1,cone,,torus,,,,
M2U03280,121119_07,,3,2,1,pipe,,pyramid,,,,
M2U03280,121119_07,,3,3,1,dumbbell,,space,pipe,,,
M2U03280,121119_07,,3,4,1,bowl,,pipe,,,,
M2U03280,121119_07,,3,5,1,torus,,bowl,,,,
M2U03280,121119_07,,3,6,1,pyramid,,bowl,,,,
M2U03280,121119_07,,3,7,1,pentagon,,trig prism,,,,
M2U03280,121119_07,,3,8,1,dumbbell,,pyramid,,,,
M2U03280,121119_07,,3,9,1,trig prism,,octahedron,,,,
M2U03280,121119_07,,3,10,1,pyramid,,pipe,,,,
M2U03280,121119_07,,3,11,1,octahedron,,bowl,,,,
M2U03280,121119_07,,3,12,1,pipe,,dumbbell,,,,
M2U03281,121119_08,,3,1,2,octahedron,,bowl,,,,
M2U03281,121119_08,,3,1,2,octahedron,,bowl,,,,
M2U03281,121119_08,,3,3,2,torus,,cone,,,,
M2U03281,121119_08,,3,4,2,pyramid,,space,cone,,cone,
M2U03281,121119_08,,3,5,2,bowl,,pyramid,,,,
M2U03281,121119_08,,3,6,2,dumbbell,,space,torus,,,
M2U03281,121119_08,,3,7,2,octahedron,,space,pentagon,,,
M2U03281,121119_08,,3,8,2,torus,,pentagon,,,,
M2U03281,121119_08,,3,9,2,pentagon,,cone,,,,
M2U03281,121119_08,,3,10,2,bowl,,space,cone,very very close to cone,,
M2U03281,121119_08,,3,11,2,pipe,,space,trig prism,,,
M2U03281,121119_08,,3,12,2,octahedron,,space,trig prism,,,
M2U03282,121119_09,,,1,,cone,center,space,torus,,torus,
M2U03282,121119_09,,,2,,pipe,,space,trig prism,,,
M2U03282,121119_09,,,3,,dumbbell,line bw octahedron and cone,space,octahedron,,,
