"","Study","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","SC0","Exclude","Torus0","Dumbbell","Pipe","Torus","Bowl","Octahedron","Sphere","Pentagon","Trig Prism","Cone","Pyramid","Torus","Dumbbell","Cone","Pipe","Trig Prism","Pentagon","Pyramid","Octahedron","Sphere","Bowl"
"4","1a","100","Duration","TRUE","4/4/20 11:05","R_3JyoUNfbSDABc94","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","octahedron","trig prism","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","torus"
"5","1a","100","Duration","TRUE","4/4/20 11:07","R_1CvwRhMapUomBsC","4","","dumbbell","pipe","octahedron","dumbbell","trig prism","pipe","bowl","bowl","bowl","torus","torus","bowl","octahedron","sphere","torus","pentagon","pipe","sphere","pentagon","pipe","torus"
"6","1a","100","Duration","TRUE","4/4/20 11:13","R_1dLEUALXTCXPYwg","4","","dumbbell","pipe","cone","cone","trig prism","sphere","bowl","sphere","bowl","torus","torus","bowl","octahedron","sphere","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","torus"
"7","1a","100","Duration","TRUE","4/4/20 11:51","R_3jfhjDRHGmo9KTg","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","octahedron","trig prism","torus","pentagon","pipe","trig prism","pentagon","pipe","torus"
"8","1a","100","Duration","TRUE","4/4/20 12:21","R_x6geSt6x2c7PZK1","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","trig prism","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","torus"
"9","1a","100","Duration","TRUE","4/4/20 16:44","R_2Qmr3gBwfUgdSlH","3","","dumbbell","pipe","cone","cone","trig prism","sphere","pentagon","bowl","bowl","torus","torus","bowl","octahedron","sphere","dumbbell","pentagon","pyramid","sphere","pyramid","cone","torus"
"10","1a","100","Duration","TRUE","4/4/20 17:07","R_3M4OB4WgEY8KuIb","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","sphere","bowl","torus","torus","octahedron","pentagon","sphere","torus","cone","pyramid","sphere","pentagon","pipe","trig prism"
"11","1a","100","Duration","TRUE","4/4/20 17:40","R_2TYsi9Jyy5kzQsY","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","octahedron","trig prism","torus","pentagon","pipe","trig prism","pyramid","pipe","torus"
"12","1a","100","Duration","TRUE","4/4/20 18:40","R_p0jaMGj1VSKi1O1","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","octahedron","torus","octahedron","octahedron","trig prism","torus","cone","pyramid","trig prism","pentagon","pipe","trig prism"
"13","1a","100","Duration","TRUE","4/4/20 22:00","R_3D0DclwZTHZrrQW","4","","dumbbell","pipe","cone","dumbbell","pyramid","pipe","bowl","sphere","dumbbell","torus","torus","bowl","octahedron","trig prism","dumbbell","pentagon","pipe","sphere","pyramid","pipe","torus"
"14","1a","100","Duration","TRUE","4/4/20 22:04","R_1LtWaQVja5n2NU2","4","","pentagon","pipe","cone","dumbbell","pyramid","sphere","bowl","sphere","dumbbell","torus","dumbbell","bowl","octahedron","sphere","dumbbell","cone","pipe","sphere","pyramid","cone","torus"
"15","1b","100","Duration","TRUE","4/5/20 11:28","R_9YQTn3Cy0dRYePf","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","sphere","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","torus"
"16","1b","100","Duration","TRUE","4/5/20 11:51","R_2ZZwhnhHTer9MUg","2","Y","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","trig prism","torus","pentagon","pyramid","trig prism","pentagon","cone","torus"
"17","1b","100","Duration","TRUE","4/5/20 11:59","R_2aFcGV5i5e1RjJB","4","","pentagon","pyramid","cone","cone","pyramid","sphere","bowl","sphere","bowl","octahedron","torus","octahedron","pentagon","trig prism","torus","cone","pyramid","sphere","pentagon","cone","torus"
"18","1b","100","Duration","TRUE","4/5/20 12:09","R_z7ECla19ITvraiR","4","","pentagon","pyramid","octahedron","dumbbell","trig prism","sphere","pentagon","sphere","dumbbell","octahedron","dumbbell","octahedron","octahedron","sphere","dumbbell","cone","pyramid","sphere","pyramid","cone","trig prism"
"19","1b","100","Duration","TRUE","4/5/20 12:34","R_2QuIY1gI0RfesnQ","4","","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","trig prism","torus","pentagon","pipe","trig prism","pyramid","pipe","torus"
"20","1b","100","Duration","TRUE","4/5/20 13:04","R_32OSC0a1b17TpyG","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","dumbbell","pentagon","pipe","trig prism","pentagon","pipe","torus"
"21","1b","100","Duration","TRUE","4/5/20 13:21","R_1K296PGBHwfBwVr","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","bowl","pentagon","trig prism","torus","pentagon","pipe","trig prism","pentagon","pipe","torus"
"22","1b","100","Duration","TRUE","4/5/20 13:32","R_2YaBWBgnl5BIHVo","4","","dumbbell","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","torus","octahedron","pentagon","trig prism","dumbbell","pentagon","pyramid","trig prism","pentagon","pipe","torus"
"23","1b","100","Duration","TRUE","4/5/20 13:49","R_2dst8FO9jurO1m5","4","","dumbbell","pyramid","cone","dumbbell","pyramid","sphere","bowl","sphere","dumbbell","torus","torus","octahedron","octahedron","trig prism","dumbbell","cone","pyramid","trig prism","pyramid","pipe","trig prism"
"24","1b","100","Duration","TRUE","4/5/20 15:01","R_1pGp4c7ARRg3vtc","1","Y","pentagon","pipe","cone","cone","pyramid","pipe","bowl","bowl","bowl","torus","dumbbell","octahedron","pentagon","sphere","torus","cone","pipe","trig prism","pyramid","pipe","torus"
