episode,collision_object_1,collision_object_2,collision_count,ground_object_1,ground_object_2,ground_object_3,available_drop_object_1,available_drop_object_2,available_drop_object_3,dropped_object
0,None,None,0,Cylinder,Dumbbell,Torus,Ring,Torus,TriangularPrism,TriangularPrism
1,None,None,0,Cone,Cylinder,Pyramid,Cone,Pipe,Torus,Torus
2,Cone,Dumbbell,1,Cone,Pyramid,TriangularPrism,Dumbbell,Pentagon,Pipe,Dumbbell
3,Bowl,Torus,1,Bowl,Dumbbell,Octahedron,Bowl,Octahedron,Torus,Torus
4,Sphere,Cube,1,Bowl,Sphere,Torus,Cone,Cube,Cylinder,Cube
5,None,None,0,Cone,Cube,Ring,Cone,Pentagon,Pipe,Cone
6,None,None,0,Pentagon,Sphere,Torus,Pyramid,Ring,Torus,Pyramid
7,Ring,Cube,1,Cube,Ring,Torus,Bowl,Cube,Cylinder,Cube
8,TriangularPrism,Cone,3,Bowl,Cone,TriangularPrism,Cone,Cylinder,Octahedron,Cone
9,Ring,Cube,1,Cone,Cube,Octahedron,Ring,Torus,TriangularPrism,Ring
10,None,None,0,Cone,Ring,TriangularPrism,Cone,Octahedron,Sphere,Cone
11,Torus,Ring,2,Cube,Ring,Sphere,Cone,Pipe,Torus,Torus
12,Dumbbell,Torus,1,Cone,Dumbbell,Sphere,Cone,Dumbbell,Torus,Torus
13,None,None,0,Cylinder,Octahedron,Sphere,Cone,Cube,Sphere,Sphere
14,Dumbbell,Pentagon,2,Dumbbell,Octahedron,Pentagon,Cone,Cube,Dumbbell,Dumbbell
15,Cube,Bowl,1,Bowl,Cone,Pipe,Bowl,Cube,Sphere,Cube
16,Octahedron,TriangularPrism,1,Cone,Octahedron,Ring,Bowl,Sphere,TriangularPrism,TriangularPrism
17,Pyramid,Cube,1,Bowl,Pyramid,TriangularPrism,Bowl,Cube,Pyramid,Cube
18,Cube,Sphere,1,Cone,Cube,Ring,Cube,Octahedron,Sphere,Sphere
19,None,None,0,Octahedron,Pentagon,Pyramid,Cube,Cylinder,Dumbbell,Dumbbell
20,None,None,0,Cone,Dumbbell,Pentagon,Cone,Pyramid,Torus,Cone
21,None,None,0,Cone,Cylinder,Pentagon,Cube,Cylinder,Dumbbell,Cylinder
22,Ring,TriangularPrism,1,Pentagon,Pyramid,TriangularPrism,Cylinder,Ring,Torus,Ring
23,Cone,Pyramid,1,Bowl,Cone,Cube,Cone,Pyramid,Sphere,Pyramid
24,Dumbbell,TriangularPrism,4,Cylinder,Ring,TriangularPrism,Cone,Cylinder,Dumbbell,Dumbbell
